"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"GOTERM_MF_DIRECT","DNA polymerase binding","0.62%","5","776","22","19253","1.07e-2","3.31e-1","5.64","1.00e+0","3.28e-1","1.56e-3"
"INTERPRO","Hemopexin-like_dom","0.62%","5","802","23","20808","1.08e-2","5.53e-1","5.64","1.00e+0","5.49e-1","1.58e-3"
"INTERPRO","Hemopexin-like_repeat","0.62%","5","802","23","20808","1.08e-2","5.53e-1","5.64","1.00e+0","5.49e-1","1.58e-3"
"GOTERM_MF_DIRECT","serine-type endopeptidase activity","1.99%","16","776","192","19253","1.10e-2","3.33e-1","2.07","1.00e+0","3.30e-1","4.90e-3"
"GOTERM_BP_DIRECT","basement membrane organization","0.62%","5","760","23","19478","1.12e-2","4.75e-1","5.57","1.00e+0","4.71e-1","1.67e-3"
"UP_KW_BIOLOGICAL_PROCESS","Immunity","7.20%","58","496","980","11523","1.13e-2","1.33e-1","1.37","7.70e-1","1.25e-1","7.79e-3"
"GOTERM_CC_DIRECT","nuclear matrix","1.49%","12","791","131","20795","1.14e-2","1.09e-1","2.41","9.99e-1","9.89e-2","4.29e-3"
"GOTERM_CC_DIRECT","basement membrane","1.24%","10","791","97","20795","1.15e-2","1.09e-1","2.71","9.99e-1","9.89e-2","3.82e-3"
"GOTERM_BP_DIRECT","platelet aggregation","0.87%","7","760","49","19478","1.15e-2","4.82e-1","3.66","1.00e+0","4.78e-1","2.76e-3"
"KEGG_PATHWAY","Alzheimer disease","3.85%","31","426","391","8534","1.16e-2","9.96e-2","1.59","9.75e-1","8.74e-2","6.98e-3"
"BBID","1.RBphosphoE2F","0.62%","5","28","14","388","1.16e-2","2.26e-1","4.95","3.72e-1","2.26e-1","1.73e-3"
"SMART","HX","0.62%","5","424","23","10706","1.17e-2","4.32e-1","5.49","9.69e-1","4.32e-1","1.77e-3"
"GOTERM_CC_DIRECT","apicolateral plasma membrane","0.62%","5","791","24","20795","1.20e-2","1.12e-1","5.48","1.00e+0","1.02e-1","1.83e-3"
"UP_KW_DOMAIN","Signal-anchor","3.60%","29","556","469","14625","1.24e-2","1.42e-1","1.63","3.03e-1","1.37e-1","7.14e-3"
"UP_KW_BIOLOGICAL_PROCESS","Apoptosis","4.72%","38","496","589","11523","1.25e-2","1.34e-1","1.50","8.02e-1","1.26e-1","8.01e-3"
"INTERPRO","Hemopexin-like_dom_sf","0.62%","5","802","24","20808","1.25e-2","6.29e-1","5.41","1.00e+0","6.25e-1","1.94e-3"
"GOTERM_BP_DIRECT","positive regulation of kinase activity","0.50%","4","760","13","19478","1.26e-2","5.01e-1","7.89","1.00e+0","4.96e-1","1.24e-3"
"GOTERM_BP_DIRECT","antigen processing and presentation of peptide antigen via MHC class I","0.50%","4","760","13","19478","1.26e-2","5.01e-1","7.89","1.00e+0","4.96e-1","1.24e-3"
"GOTERM_BP_DIRECT","eyelid development in camera-type eye","0.50%","4","760","13","19478","1.26e-2","5.01e-1","7.89","1.00e+0","4.96e-1","1.24e-3"
"GOTERM_BP_DIRECT","DNA replication checkpoint signaling","0.50%","4","760","13","19478","1.26e-2","5.01e-1","7.89","1.00e+0","4.96e-1","1.24e-3"
"KEGG_PATHWAY","Hepatitis C","1.99%","16","426","159","8534","1.27e-2","1.07e-1","2.02","9.83e-1","9.39e-2","5.76e-3"
"GOTERM_BP_DIRECT","phagocytosis, engulfment","0.62%","5","760","24","19478","1.31e-2","5.01e-1","5.34","1.00e+0","4.96e-1","2.04e-3"
"GOTERM_BP_DIRECT","protein N-linked glycosylation via asparagine","0.62%","5","760","24","19478","1.31e-2","5.01e-1","5.34","1.00e+0","4.96e-1","2.04e-3"
"UP_KW_DISEASE","Dwarfism","2.48%","20","244","220","4859","1.32e-2","2.95e-1","1.81","6.44e-1","2.88e-1","6.72e-3"
"GOTERM_CC_DIRECT","extrinsic component of presynaptic membrane","0.37%","3","791","5","20795","1.34e-2","1.23e-1","15.77","1.00e+0","1.12e-1","5.18e-4"
"UP_SEQ_FEATURE","DOMAIN:MHC class II alpha chain N-terminal","0.37%","3","789","5","20675","1.34e-2","1.00e+0","15.72","1.00e+0","9.98e-1","5.23e-4"
"GOTERM_BP_DIRECT","defense response","1.12%","9","760","81","19478","1.35e-2","5.01e-1","2.85","1.00e+0","4.96e-1","4.25e-3"
"GOTERM_BP_DIRECT","defense response to virus","2.24%","18","760","241","19478","1.37e-2","5.01e-1","1.91","1.00e+0","4.96e-1","6.52e-3"
"INTERPRO","PDI_thioredoxin-like_dom","0.37%","3","802","5","20808","1.37e-2","6.44e-1","15.57","1.00e+0","6.40e-1","5.38e-4"
"INTERPRO","BolA","0.37%","3","802","5","20808","1.37e-2","6.44e-1","15.57","1.00e+0","6.40e-1","5.38e-4"
"INTERPRO","BolA-like_sf","0.37%","3","802","5","20808","1.37e-2","6.44e-1","15.57","1.00e+0","6.40e-1","5.38e-4"
"GOTERM_MF_DIRECT","histone binding","1.99%","16","776","197","19253","1.37e-2","4.03e-1","2.02","1.00e+0","3.99e-1","6.25e-3"
"GOTERM_BP_DIRECT","positive regulation of DNA-templated transcription","5.09%","41","760","714","19478","1.39e-2","5.01e-1","1.47","1.00e+0","4.96e-1","8.67e-3"
"UP_KW_DISEASE","Primary mitochondrial disease","2.36%","19","244","206","4859","1.40e-2","2.95e-1","1.84","6.67e-1","2.88e-1","7.02e-3"
"GOTERM_BP_DIRECT","positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation","0.37%","3","760","5","19478","1.40e-2","5.01e-1","15.38","1.00e+0","4.96e-1","5.58e-4"
"GOTERM_BP_DIRECT","negative regulation of respiratory burst involved in inflammatory response","0.37%","3","760","5","19478","1.40e-2","5.01e-1","15.38","1.00e+0","4.96e-1","5.58e-4"
"GOTERM_BP_DIRECT","mitotic DNA replication initiation","0.37%","3","760","5","19478","1.40e-2","5.01e-1","15.38","1.00e+0","4.96e-1","5.58e-4"
"GOTERM_BP_DIRECT","regulation of mammary gland epithelial cell proliferation","0.37%","3","760","5","19478","1.40e-2","5.01e-1","15.38","1.00e+0","4.96e-1","5.58e-4"
"GOTERM_BP_DIRECT","microglial cell activation involved in immune response","0.37%","3","760","5","19478","1.40e-2","5.01e-1","15.38","1.00e+0","4.96e-1","5.58e-4"
"GOTERM_BP_DIRECT","epithelial cell differentiation","1.24%","10","760","98","19478","1.42e-2","5.03e-1","2.62","1.00e+0","4.98e-1","4.90e-3"
"KEGG_PATHWAY","Metabolic pathways","12.05%","97","426","1570","8534","1.45e-2","1.18e-1","1.24","9.90e-1","1.04e-1","1.12e-2"
"GOTERM_CC_DIRECT","oligosaccharyltransferase complex","0.50%","4","791","14","20795","1.45e-2","1.30e-1","7.51","1.00e+0","1.18e-1","1.53e-3"
"GOTERM_CC_DIRECT","mitotic spindle midzone","0.50%","4","791","14","20795","1.45e-2","1.30e-1","7.51","1.00e+0","1.18e-1","1.53e-3"
"GOTERM_MF_DIRECT","cargo receptor activity","0.62%","5","776","24","19253","1.46e-2","4.10e-1","5.17","1.00e+0","4.07e-1","2.36e-3"
"GOTERM_MF_DIRECT","nucleotidyltransferase activity","0.87%","7","776","50","19253","1.47e-2","4.10e-1","3.47","1.00e+0","4.07e-1","3.71e-3"
"UP_KW_DOMAIN","Redox-active center","0.87%","7","556","53","14625","1.47e-2","1.42e-1","3.47","3.50e-1","1.37e-1","3.74e-3"
"KEGG_PATHWAY","Protein digestion and absorption","1.49%","12","426","105","8534","1.51e-2","1.20e-1","2.29","9.92e-1","1.06e-1","5.92e-3"
"GOTERM_BP_DIRECT","regulation of circadian rhythm","0.99%","8","760","67","19478","1.52e-2","5.23e-1","3.06","1.00e+0","5.18e-1","4.43e-3"
"GOTERM_BP_DIRECT","positive regulation of T cell activation","0.75%","6","760","38","19478","1.53e-2","5.23e-1","4.05","1.00e+0","5.18e-1","3.29e-3"
"GOTERM_BP_DIRECT","replication fork processing","0.75%","6","760","38","19478","1.53e-2","5.23e-1","4.05","1.00e+0","5.18e-1","3.29e-3"
"INTERPRO","MetalloPept_cat_dom_sf","1.12%","9","802","84","20808","1.55e-2","7.13e-1","2.78","1.00e+0","7.09e-1","5.00e-3"
"GOTERM_BP_DIRECT","cytoskeleton-dependent intracellular transport","0.50%","4","760","14","19478","1.56e-2","5.23e-1","7.32","1.00e+0","5.18e-1","1.68e-3"
"GOTERM_BP_DIRECT","positive regulation of chromosome segregation","0.50%","4","760","14","19478","1.56e-2","5.23e-1","7.32","1.00e+0","5.18e-1","1.68e-3"
"GOTERM_CC_DIRECT","intercellular bridge","1.37%","11","791","120","20795","1.61e-2","1.42e-1","2.41","1.00e+0","1.29e-1","6.08e-3"
"KEGG_PATHWAY","Inflammatory bowel disease","1.12%","9","426","66","8534","1.62e-2","1.26e-1","2.73","9.94e-1","1.10e-1","5.21e-3"
"GOTERM_CC_DIRECT","centrosome","4.72%","38","791","674","20795","1.63e-2","1.42e-1","1.48","1.00e+0","1.29e-1","1.05e-2"
"INTERPRO","Ub_conjugating_enzyme","0.62%","5","802","26","20808","1.66e-2","7.48e-1","4.99","1.00e+0","7.43e-1","2.82e-3"
"GOTERM_BP_DIRECT","proteolysis involved in protein catabolic process","0.87%","7","760","53","19478","1.66e-2","5.53e-1","3.38","1.00e+0","5.48e-1","4.33e-3"
"GOTERM_CC_DIRECT","lateral plasma membrane","0.99%","8","791","70","20795","1.68e-2","1.43e-1","3.00","1.00e+0","1.30e-1","4.98e-3"
"GOTERM_MF_DIRECT","ubiquitin-like protein ligase binding","0.62%","5","776","25","19253","1.68e-2","4.58e-1","4.96","1.00e+0","4.54e-1","2.85e-3"
"GOTERM_CC_DIRECT","COPII-coated ER to Golgi transport vesicle","0.75%","6","791","40","20795","1.71e-2","1.43e-1","3.94","1.00e+0","1.30e-1","3.78e-3"
"GOTERM_CC_DIRECT","mitotic spindle pole","0.75%","6","791","40","20795","1.71e-2","1.43e-1","3.94","1.00e+0","1.30e-1","3.78e-3"
"GOTERM_BP_DIRECT","developmental growth","0.62%","5","760","26","19478","1.73e-2","5.70e-1","4.93","1.00e+0","5.64e-1","2.97e-3"
"KEGG_PATHWAY","Glycolysis / Gluconeogenesis","1.12%","9","426","67","8534","1.76e-2","1.33e-1","2.69","9.97e-1","1.17e-1","5.76e-3"
"UP_SEQ_FEATURE","MOTIF:D-box","0.50%","4","789","15","20675","1.78e-2","1.00e+0","6.99","1.00e+0","9.98e-1","2.05e-3"
"GOTERM_MF_DIRECT","cysteine-type endopeptidase activity","0.99%","8","776","67","19253","1.79e-2","4.76e-1","2.96","1.00e+0","4.71e-1","5.37e-3"
"INTERPRO","Thioredoxin_domain","0.75%","6","802","40","20808","1.80e-2","7.96e-1","3.89","1.00e+0","7.91e-1","4.03e-3"
"UP_KW_DISEASE","Fanconi anemia","0.62%","5","244","21","4859","1.86e-2","2.95e-1","4.74","7.69e-1","2.88e-1","3.21e-3"
"GOTERM_BP_DIRECT","response to estradiol","1.12%","9","760","86","19478","1.88e-2","6.00e-1","2.68","1.00e+0","5.94e-1","6.31e-3"
"GOTERM_BP_DIRECT","positive regulation of viral entry into host cell","0.50%","4","760","15","19478","1.89e-2","6.00e-1","6.83","1.00e+0","5.94e-1","2.22e-3"
"GOTERM_BP_DIRECT","regulation of oxidative phosphorylation","0.50%","4","760","15","19478","1.89e-2","6.00e-1","6.83","1.00e+0","5.94e-1","2.22e-3"
"GOTERM_BP_DIRECT","inner cell mass cell proliferation","0.50%","4","760","15","19478","1.89e-2","6.00e-1","6.83","1.00e+0","5.94e-1","2.22e-3"
"GOTERM_CC_DIRECT","condensed nuclear chromosome","0.75%","6","791","41","20795","1.89e-2","1.56e-1","3.85","1.00e+0","1.42e-1","4.29e-3"
"INTERPRO","UBQ-conjugating_AS","0.62%","5","802","27","20808","1.89e-2","8.19e-1","4.80","1.00e+0","8.13e-1","3.35e-3"
"UP_KW_DISEASE","Hereditary hemolytic anemia","0.87%","7","244","43","4859","1.89e-2","2.95e-1","3.24","7.75e-1","2.88e-1","5.04e-3"
"UP_SEQ_FEATURE","MOTIF:Cell attachment site","1.12%","9","789","88","20675","1.90e-2","1.00e+0","2.68","1.00e+0","9.98e-1","6.37e-3"
"GOTERM_CC_DIRECT","tertiary granule lumen","0.87%","7","791","56","20795","1.91e-2","1.56e-1","3.29","1.00e+0","1.42e-1","5.14e-3"
"GOTERM_MF_DIRECT","ubiquitin binding","1.24%","10","776","100","19253","1.94e-2","5.04e-1","2.48","1.00e+0","4.99e-1","7.05e-3"
"GOTERM_CC_DIRECT","BRISC complex","0.37%","3","791","6","20795","1.95e-2","1.57e-1","13.14","1.00e+0","1.43e-1","1.01e-3"
"UP_SEQ_FEATURE","CARBOHYD:O-linked (Gal...) hydroxylysine; alternate","0.37%","3","789","6","20675","1.96e-2","1.00e+0","13.10","1.00e+0","9.98e-1","1.02e-3"
"GOTERM_BP_DIRECT","negative regulation of inflammatory response to antigenic stimulus","0.62%","5","760","27","19478","1.97e-2","6.09e-1","4.75","1.00e+0","6.04e-1","3.53e-3"
"GOTERM_BP_DIRECT","positive regulation of interferon-alpha production","0.62%","5","760","27","19478","1.97e-2","6.09e-1","4.75","1.00e+0","6.04e-1","3.53e-3"
"KEGG_PATHWAY","Asthma","0.75%","6","426","32","8534","1.98e-2","1.44e-1","3.76","9.98e-1","1.26e-1","4.47e-3"
"KEGG_PATHWAY","Oxidative phosphorylation","1.74%","14","426","138","8534","1.98e-2","1.44e-1","2.03","9.98e-1","1.26e-1","8.84e-3"
"GOTERM_CC_DIRECT","cell surface","4.60%","37","791","662","20795","2.00e-2","1.59e-1","1.47","1.00e+0","1.45e-1","1.30e-2"
"INTERPRO","Collagen_mod_GT25","0.37%","3","802","6","20808","2.00e-2","8.35e-1","12.97","1.00e+0","8.29e-1","1.05e-3"
"INTERPRO","Aur-like","0.37%","3","802","6","20808","2.00e-2","8.35e-1","12.97","1.00e+0","8.29e-1","1.05e-3"
"GOTERM_BP_DIRECT","proteasome-mediated ubiquitin-dependent protein catabolic process","2.61%","21","760","311","19478","2.01e-2","6.09e-1","1.73","1.00e+0","6.04e-1","1.09e-2"
"GOTERM_BP_DIRECT","positive regulation of mitotic cytokinesis","0.37%","3","760","6","19478","2.05e-2","6.09e-1","12.81","1.00e+0","6.04e-1","1.08e-3"
"GOTERM_BP_DIRECT","homologous chromosome segregation","0.37%","3","760","6","19478","2.05e-2","6.09e-1","12.81","1.00e+0","6.04e-1","1.08e-3"
"GOTERM_BP_DIRECT","peptide antigen assembly with MHC class I protein complex","0.37%","3","760","6","19478","2.05e-2","6.09e-1","12.81","1.00e+0","6.04e-1","1.08e-3"
"GOTERM_BP_DIRECT","positive regulation of exit from mitosis","0.37%","3","760","6","19478","2.05e-2","6.09e-1","12.81","1.00e+0","6.04e-1","1.08e-3"
"GOTERM_CC_DIRECT","cell leading edge","0.87%","7","791","57","20795","2.07e-2","1.61e-1","3.23","1.00e+0","1.46e-1","5.68e-3"
"GOTERM_CC_DIRECT","tertiary granule membrane","0.99%","8","791","73","20795","2.07e-2","1.61e-1","2.88","1.00e+0","1.46e-1","6.43e-3"
"UP_KW_MOLECULAR_FUNCTION","Isomerase","1.74%","14","474","174","11952","2.08e-2","6.49e-1","2.03","8.56e-1","6.49e-1","9.40e-3"
"GOTERM_BP_DIRECT","cellular respiration","0.75%","6","760","41","19478","2.08e-2","6.09e-1","3.75","1.00e+0","6.04e-1","4.85e-3"
"GOTERM_BP_DIRECT","endothelial cell migration","0.75%","6","760","41","19478","2.08e-2","6.09e-1","3.75","1.00e+0","6.04e-1","4.85e-3"
"GOTERM_BP_DIRECT","protein glycosylation","1.37%","11","760","122","19478","2.10e-2","6.09e-1","2.31","1.00e+0","6.04e-1","8.23e-3"
"UP_SEQ_FEATURE","MOTIF:Prevents secretion from ER","0.87%","7","789","57","20675","2.10e-2","1.00e+0","3.22","1.00e+0","9.98e-1","5.78e-3"
"UP_KW_MOLECULAR_FUNCTION","Metalloprotease","1.61%","13","474","156","11952","2.11e-2","6.49e-1","2.10","8.59e-1","6.49e-1","9.15e-3"
"GOTERM_CC_DIRECT","chromocenter","0.50%","4","791","16","20795","2.11e-2","1.62e-1","6.57","1.00e+0","1.47e-1","2.62e-3"
"KEGG_PATHWAY","Huntington disease","3.11%","25","426","311","8534","2.12e-2","1.50e-1","1.61","9.99e-1","1.32e-1","1.25e-2"
"UP_SEQ_FEATURE","TRANSMEM:Helical; Signal-anchor for type II membrane protein","3.11%","25","789","403","20675","2.14e-2","1.00e+0","1.63","1.00e+0","9.98e-1","1.22e-2"
"INTERPRO","Collagen/C1q_domain","0.62%","5","802","28","20808","2.14e-2","8.59e-1","4.63","1.00e+0","8.54e-1","3.95e-3"
"INTERPRO","MHC_class-I_related","0.62%","5","802","28","20808","2.14e-2","8.59e-1","4.63","1.00e+0","8.54e-1","3.95e-3"
"GOTERM_BP_DIRECT","proton transmembrane transport","1.74%","14","760","177","19478","2.14e-2","6.17e-1","2.03","1.00e+0","6.12e-1","9.68e-3"
"UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2)","7.95%","64","789","1277","20675","2.15e-2","1.00e+0","1.31","1.00e+0","9.98e-1","1.53e-2"
"GOTERM_MF_DIRECT","kinase activity","2.11%","17","776","227","19253","2.16e-2","5.43e-1","1.86","1.00e+0","5.38e-1","1.07e-2"
"GOTERM_BP_DIRECT","cell-cell adhesion","1.86%","15","760","196","19478","2.16e-2","6.17e-1","1.96","1.00e+0","6.12e-1","1.01e-2"
"GOTERM_MF_DIRECT","molecular function activator activity","0.62%","5","776","27","19253","2.19e-2","5.43e-1","4.59","1.00e+0","5.38e-1","4.05e-3"
"GOTERM_CC_DIRECT","RNA polymerase II transcription regulator complex","1.37%","11","791","126","20795","2.20e-2","1.67e-1","2.30","1.00e+0","1.51e-1","8.69e-3"
"KEGG_PATHWAY","Cytoskeleton in muscle cells","2.48%","20","426","232","8534","2.20e-2","1.53e-1","1.73","9.99e-1","1.34e-1","1.20e-2"
"GOTERM_BP_DIRECT","regulation of cyclin-dependent protein serine/threonine kinase activity","0.62%","5","760","28","19478","2.23e-2","6.28e-1","4.58","1.00e+0","6.23e-1","4.16e-3"
"GOTERM_BP_DIRECT","metaphase chromosome alignment","0.50%","4","760","16","19478","2.26e-2","6.28e-1","6.41","1.00e+0","6.23e-1","2.88e-3"
"GOTERM_BP_DIRECT","ovarian follicle development","0.75%","6","760","42","19478","2.29e-2","6.28e-1","3.66","1.00e+0","6.23e-1","5.47e-3"
"GOTERM_BP_DIRECT","cell redox homeostasis","0.75%","6","760","42","19478","2.29e-2","6.28e-1","3.66","1.00e+0","6.23e-1","5.47e-3"
"GOTERM_CC_DIRECT","apical junction complex","0.62%","5","791","29","20795","2.31e-2","1.71e-1","4.53","1.00e+0","1.55e-1","4.37e-3"
"GOTERM_CC_DIRECT","spindle midzone","0.62%","5","791","29","20795","2.31e-2","1.71e-1","4.53","1.00e+0","1.55e-1","4.37e-3"
"GOTERM_BP_DIRECT","protein secretion","0.87%","7","760","57","19478","2.31e-2","6.28e-1","3.15","1.00e+0","6.23e-1","6.50e-3"
"GOTERM_BP_DIRECT","cellular response to UV","0.87%","7","760","57","19478","2.31e-2","6.28e-1","3.15","1.00e+0","6.23e-1","6.50e-3"
"KEGG_PATHWAY","Thermogenesis","2.48%","20","426","234","8534","2.38e-2","1.62e-1","1.71","1.00e+0","1.42e-1","1.31e-2"
"GOTERM_MF_DIRECT","RNA binding","9.44%","76","776","1485","19253","2.40e-2","5.83e-1","1.27","1.00e+0","5.78e-1","1.79e-2"
"INTERPRO","MHC_I-like_Ag-recog_sf","0.62%","5","802","29","20808","2.41e-2","9.33e-1","4.47","1.00e+0","9.27e-1","4.62e-3"
"INTERPRO","MHC_I-like_Ag-recog","0.62%","5","802","29","20808","2.41e-2","9.33e-1","4.47","1.00e+0","9.27e-1","4.62e-3"
"UP_SEQ_FEATURE","LIPID:S-farnesyl cysteine","0.87%","7","789","59","20675","2.44e-2","1.00e+0","3.11","1.00e+0","9.98e-1","6.98e-3"
"UP_KW_MOLECULAR_FUNCTION","Transferase","12.42%","100","474","2082","11952","2.49e-2","6.49e-1","1.21","9.02e-1","6.49e-1","1.97e-2"
"UP_SEQ_FEATURE","TRANSIT:Mitochondrion","3.98%","32","789","561","20675","2.52e-2","1.00e+0","1.49","1.00e+0","9.98e-1","1.59e-2"
"GOTERM_CC_DIRECT","focal adhesion","3.23%","26","791","433","20795","2.53e-2","1.86e-1","1.58","1.00e+0","1.69e-1","1.54e-2"
"BBID","70.Signal_peptides_(MHC)_class_I_molecules","0.37%","3","28","4","388","2.57e-2","3.34e-1","10.39","6.47e-1","3.34e-1","1.29e-3"
"BIOCARTA","Cyclins and Cell Cycle Regulation","0.75%","6","114","25","1622","2.59e-2","5.40e-1","3.41","9.87e-1","5.34e-1","6.20e-3"
"UP_KW_LIGAND","Nucleotide-binding","11.80%","95","293","1888","6987","2.61e-2","5.10e-1","1.20","6.44e-1","5.10e-1","2.10e-2"
"GOTERM_BP_DIRECT","amyloid-beta clearance","0.50%","4","760","17","19478","2.66e-2","7.20e-1","6.03","1.00e+0","7.13e-1","3.64e-3"
"GOTERM_CC_DIRECT","Lsm2-8 complex","0.37%","3","791","7","20795","2.67e-2","1.93e-1","11.27","1.00e+0","1.76e-1","1.71e-3"
"UP_SEQ_FEATURE","REGION:Interactions with TJP1, TJP2 and TJP3","0.37%","3","789","7","20675","2.68e-2","1.00e+0","11.23","1.00e+0","9.98e-1","1.73e-3"
"UP_KW_BIOLOGICAL_PROCESS","Amino-acid biosynthesis","0.62%","5","496","27","11523","2.70e-2","2.67e-1","4.30","9.71e-1","2.51e-1","5.33e-3"
"INTERPRO","MHC_II_a_N","0.37%","3","802","7","20808","2.73e-2","1.00e+0","11.12","1.00e+0","9.94e-1","1.78e-3"
"INTERPRO","Nucleoside_diP_kinase_AS","0.37%","3","802","7","20808","2.73e-2","1.00e+0","11.12","1.00e+0","9.94e-1","1.78e-3"
"UP_SEQ_FEATURE","DOMAIN:Thioredoxin","0.75%","6","789","45","20675","2.76e-2","1.00e+0","3.49","1.00e+0","9.98e-1","6.94e-3"
"GOTERM_BP_DIRECT","mitotic cell cycle phase transition","0.37%","3","760","7","19478","2.80e-2","7.28e-1","10.98","1.00e+0","7.22e-1","1.84e-3"
"GOTERM_BP_DIRECT","antigen processing and presentation of exogenous peptide antigen via MHC class I","0.37%","3","760","7","19478","2.80e-2","7.28e-1","10.98","1.00e+0","7.22e-1","1.84e-3"
"GOTERM_BP_DIRECT","L-proline biosynthetic process","0.37%","3","760","7","19478","2.80e-2","7.28e-1","10.98","1.00e+0","7.22e-1","1.84e-3"
"GOTERM_BP_DIRECT","metaphase/anaphase transition of mitotic cell cycle","0.37%","3","760","7","19478","2.80e-2","7.28e-1","10.98","1.00e+0","7.22e-1","1.84e-3"
"GOTERM_BP_DIRECT","neuron projection extension","0.62%","5","760","30","19478","2.80e-2","7.28e-1","4.27","1.00e+0","7.22e-1","5.65e-3"
"KEGG_PATHWAY","Relaxin signaling pathway","1.61%","13","426","130","8534","2.83e-2","1.88e-1","2.00","1.00e+0","1.65e-1","1.28e-2"
"PIR_SUPERFAMILY","Cyclin_A_B_D_E","0.37%","3","142","4","1941","2.85e-2","1.00e+0","10.25","9.72e-1","1.00e+0","1.45e-3"
"SMART","MHC_II_alpha","0.37%","3","424","7","10706","2.87e-2","9.40e-1","10.82","1.00e+0","9.40e-1","1.92e-3"
"GOTERM_CC_DIRECT","nuclear replication fork","0.50%","4","791","18","20795","2.91e-2","2.09e-1","5.84","1.00e+0","1.90e-1","4.15e-3"
"UP_SEQ_FEATURE","DOMAIN:Cyclin C-terminal","0.50%","4","789","18","20675","2.94e-2","1.00e+0","5.82","1.00e+0","9.98e-1","4.20e-3"
"GOTERM_CC_DIRECT","cyclin-dependent protein kinase holoenzyme complex","0.75%","6","791","46","20795","2.96e-2","2.10e-1","3.43","1.00e+0","1.91e-1","7.61e-3"
"INTERPRO","Peptidoglycan-bd-like","0.50%","4","802","18","20808","3.01e-2","1.00e+0","5.77","1.00e+0","9.94e-1","4.35e-3"
"GOTERM_BP_DIRECT","protein polyubiquitination","1.49%","12","760","148","19478","3.03e-2","7.81e-1","2.08","1.00e+0","7.74e-1","1.33e-2"
"GOTERM_MF_DIRECT","protein homodimerization activity","5.22%","42","776","753","19253","3.07e-2","7.09e-1","1.38","1.00e+0","7.02e-1","2.09e-2"
"GOTERM_BP_DIRECT","chondrocyte development","0.50%","4","760","18","19478","3.11e-2","7.95e-1","5.70","1.00e+0","7.88e-1","4.54e-3"
"GOTERM_MF_DIRECT","endopeptidase activity","0.99%","8","776","75","19253","3.11e-2","7.09e-1","2.65","1.00e+0","7.02e-1","1.05e-2"
"GOTERM_MF_DIRECT","fibronectin binding","0.62%","5","776","30","19253","3.11e-2","7.09e-1","4.14","1.00e+0","7.02e-1","6.47e-3"
"KEGG_PATHWAY","p53 signaling pathway","1.12%","9","426","75","8534","3.23e-2","2.10e-1","2.40","1.00e+0","1.85e-1","1.19e-2"
"GOTERM_MF_DIRECT","magnesium ion binding","2.11%","17","776","239","19253","3.27e-2","7.31e-1","1.76","1.00e+0","7.24e-1","1.71e-2"
"KEGG_PATHWAY","Lysosome","1.61%","13","426","133","8534","3.30e-2","2.11e-1","1.96","1.00e+0","1.85e-1","1.53e-2"
"GOTERM_MF_DIRECT","growth factor activity","1.61%","13","776","164","19253","3.36e-2","7.35e-1","1.97","1.00e+0","7.29e-1","1.56e-2"
"GOTERM_BP_DIRECT","microtubule-based movement","0.99%","8","760","79","19478","3.42e-2","8.68e-1","2.60","1.00e+0","8.60e-1","1.18e-2"
"GOTERM_CC_DIRECT","cell periphery","0.87%","7","791","64","20795","3.43e-2","2.34e-1","2.88","1.00e+0","2.13e-1","1.06e-2"
"UP_KW_CELLULAR_COMPONENT","Basement membrane","0.75%","6","748","44","18049","3.44e-2","1.05e-1","3.29","8.38e-1","7.48e-2","9.15e-3"
"GOTERM_MF_DIRECT","ubiquitin-like protein transferase activity","0.62%","5","776","31","19253","3.46e-2","7.43e-1","4.00","1.00e+0","7.37e-1","7.47e-3"
"GOTERM_CC_DIRECT","COPI-coated vesicle membrane","0.37%","3","791","8","20795","3.47e-2","2.34e-1","9.86","1.00e+0","2.13e-1","2.66e-3"
"GOTERM_CC_DIRECT","oligosaccharyltransferase complex A","0.37%","3","791","8","20795","3.47e-2","2.34e-1","9.86","1.00e+0","2.13e-1","2.66e-3"
"GOTERM_CC_DIRECT","oligosaccharyltransferase complex B","0.37%","3","791","8","20795","3.47e-2","2.34e-1","9.86","1.00e+0","2.13e-1","2.66e-3"
"UP_SEQ_FEATURE","CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO1)","0.99%","8","789","81","20675","3.47e-2","1.00e+0","2.59","1.00e+0","9.98e-1","1.20e-2"
"UP_SEQ_FEATURE","DOMAIN:TRAF-type","0.37%","3","789","8","20675","3.49e-2","1.00e+0","9.83","1.00e+0","9.98e-1","2.68e-3"
"UP_SEQ_FEATURE","DOMAIN:Peptidase M10 metallopeptidase","0.37%","3","789","8","20675","3.49e-2","1.00e+0","9.83","1.00e+0","9.98e-1","2.68e-3"
"UP_SEQ_FEATURE","DOMAIN:Pyrroline-5-carboxylate reductase catalytic N-terminal","0.37%","3","789","8","20675","3.49e-2","1.00e+0","9.83","1.00e+0","9.98e-1","2.68e-3"
"GOTERM_CC_DIRECT","lysosome","2.48%","20","791","318","20795","3.49e-2","2.34e-1","1.65","1.00e+0","2.13e-1","2.00e-2"
